individual,Sample,population,orange,blue,red,green
1,993,Bantu (S. Africa),0.953,0.025,0.016,0.007
2,1028,Bantu (S. Africa),0.917,0.031,0.032,0.02
3,1030,Bantu (S. Africa),0.926,0.027,0.021,0.026
4,1031,Bantu (S. Africa),0.912,0.04,0.02,0.028
5,1033,Bantu (S. Africa),0.878,0.074,0.031,0.017
6,1034,Bantu (S. Africa),0.871,0.103,0.015,0.011
7,1035,Bantu (S. Africa),0.936,0.043,0.014,0.007
8,1405,Bantu (Kenya) ,0.9,0.048,0.03,0.023
9,1406,Bantu (Kenya) ,0.806,0.125,0.055,0.014
10,1408,Bantu (Kenya) ,0.82,0.093,0.032,0.055
11,1411,Bantu (Kenya) ,0.836,0.13,0.02,0.015
12,1412,Bantu (Kenya) ,0.889,0.069,0.023,0.02
13,1413,Bantu (Kenya) ,0.833,0.138,0.011,0.018
14,1414,Bantu (Kenya) ,0.829,0.122,0.021,0.028
15,1415,Bantu (Kenya) ,0.812,0.118,0.039,0.03
16,1416,Bantu (Kenya) ,0.82,0.114,0.045,0.021
17,1417,Bantu (Kenya) ,0.896,0.073,0.013,0.017
18,1418,Bantu (Kenya) ,0.866,0.093,0.016,0.024
19,1419,Bantu (Kenya) ,0.907,0.052,0.017,0.024
20,904,Mandenka  ,0.923,0.029,0.022,0.026
21,905,Mandenka  ,0.857,0.047,0.061,0.035
22,907,Mandenka  ,0.918,0.049,0.02,0.013
23,908,Mandenka  ,0.916,0.05,0.017,0.017
24,909,Mandenka  ,0.927,0.034,0.028,0.011
25,910,Mandenka  ,0.89,0.085,0.014,0.011
26,912,Mandenka  ,0.844,0.081,0.064,0.012
27,914,Mandenka  ,0.919,0.026,0.022,0.033
28,915,Mandenka  ,0.938,0.024,0.021,0.017
29,916,Mandenka  ,0.896,0.038,0.032,0.034
30,917,Mandenka  ,0.913,0.045,0.029,0.013
31,918,Mandenka  ,0.914,0.056,0.019,0.01
32,919,Mandenka  ,0.924,0.035,0.023,0.018
33,1199,Mandenka  ,0.944,0.026,0.018,0.012
34,1200,Mandenka  ,0.846,0.062,0.042,0.051
35,1201,Mandenka  ,0.871,0.096,0.018,0.015
36,1202,Mandenka  ,0.908,0.032,0.033,0.026
37,1283,Mandenka  ,0.914,0.033,0.041,0.012
38,1284,Mandenka  ,0.913,0.032,0.026,0.028
39,1285,Mandenka  ,0.914,0.041,0.022,0.023
40,1286,Mandenka  ,0.892,0.036,0.041,0.031
41,920,Yoruba  ,0.911,0.032,0.029,0.029
42,921,Yoruba  ,0.919,0.018,0.04,0.023
