individual,Sample,population,red,yellow,blue,green,orange
1,R7,Mesolithic   ,1,0,0,0,0
2,R11,Mesolithic   ,1,0,0,0,0
3,R15,Mesolithic   ,1,0,0,0,0
4,R2,Neolithic   ,0.0137,0,0,0.2296,0.7567
5,R3,Neolithic   ,0,0,0,0.2674,0.7325
6,R8,Neolithic   ,0.0224,0,0,0.2496,0.7279
7,R10,Neolithic   ,0.0222,0,0,0.2406,0.7372
8,R9,Neolithic   ,0,0,0,0.2603,0.7396
9,R18,Neolithic   ,0.0231,0,0,0.2272,0.7496
10,R19,Neolithic   ,0.046,0,0,0.2678,0.6861
11,R17,Neolithic   ,0.0843,0,0,0.2418,0.6739
12,R16,Neolithic   ,0.096,0,0,0.2198,0.6841
13,R6,Neolithic   ,0.1917,0,0,0.1516,0.6567
14,R1014,Copper Age  ,0.1384,0,0,0.2089,0.6527
15,R4,Copper Age  ,0.0872,0,0,0.2357,0.6771
16,R5,Copper Age  ,0.112,0,0,0.171,0.717
17,R1,Iron Age & Republic,0.0969,0.2092,0,0.3204,0.3735
18,R1015,Iron Age & Republic,0.1423,0.0681,0,0.2972,0.4923
19,R1016,Iron Age & Republic,0.1383,0.0867,0,0.2915,0.4834
20,R850,Iron Age & Republic,0.0503,0.08,0.0261,0.4884,0.3553
21,R851,Iron Age & Republic,0.1537,0.0947,0,0.2643,0.4873
22,R1021,Iron Age & Republic,0.1685,0.0882,0,0.3235,0.4198
23,R475b,Iron Age & Republic,0.0908,0.0309,0.0859,0.3533,0.4391
24,R473,Iron Age & Republic,0.144,0.0982,0,0.3158,0.442
25,R474b,Iron Age & Republic,0.1415,0.1605,0,0.2811,0.4169
26,R435b,Iron Age & Republic,0.1843,0.1608,0,0.254,0.4008
27,R437b,Iron Age & Republic,0.0756,0.0606,0.0094,0.4582,0.3961
28,R1549,Imperial Rome  ,0.0952,0.1454,0.0158,0.4165,0.3271
29,R1550,Imperial Rome  ,1e-04,0.0536,0.0689,0.5663,0.3111
30,R1547,Imperial Rome  ,0,0.0032,0.0681,0.5815,0.3472
31,R835,Imperial Rome  ,0.045,0.1247,0.0219,0.4077,0.4007
32,R1548,Imperial Rome  ,0.0259,0.1542,0.0089,0.4927,0.3182
33,R836,Imperial Rome  ,0.0551,0.1202,0,0.4551,0.3696
34,R81,Imperial Rome  ,0.0273,0.0569,0,0.5435,0.3723
35,R114,Imperial Rome  ,0.0237,0.1265,0,0.5103,0.3396
36,R49,Imperial Rome  ,0.0698,0.1049,0.0088,0.4579,0.3585
37,R436,Imperial Rome  ,0.0722,0.0891,0,0.4848,0.3538
38,R111,Imperial Rome  ,0.0949,0.0948,0,0.4065,0.4038
39,R131,Imperial Rome  ,0.0712,0.0797,0.0081,0.4691,0.3719
40,R115,Imperial Rome  ,0.041,0.0743,0.0161,0.5101,0.3584
41,R78,Imperial Rome  ,0.0065,0.0241,0,0.5397,0.4297
42,R51,Imperial Rome  ,0.0397,0.0898,0.007,0.4888,0.3746
43,R75,Imperial Rome  ,0.0129,0.0477,0.0268,0.5295,0.3832
44,R116,Imperial Rome  ,0.1966,0.1801,0,0.2678,0.3555
45,R128,Imperial Rome  ,0.0142,0.0872,0,0.5466,0.352
46,R113,Imperial Rome  ,0.0694,0.081,0,0.4535,0.3961
47,R76,Imperial Rome  ,0,0.075,0.0223,0.5688,0.3339
48,R125,Imperial Rome  ,0.0599,0.1002,0.0065,0.431,0.4025
49,R41,Imperial Rome  ,0.022,0.0681,0.0479,0.5295,0.3324
50,R1545,Imperial Rome  ,0.0078,0.109,0.0147,0.5036,0.3649
51,R45,Imperial Rome  ,0.0457,0.0337,0.0587,0.4941,0.3678
52,R37,Imperial Rome  ,0.2088,0.131,0,0.2435,0.4166
53,R38,Imperial Rome  ,0,0.0636,0.0102,0.5766,0.3496
54,R1543,Imperial Rome  ,0.0357,0.0928,0.0292,0.4793,0.363
55,R43,Imperial Rome  ,0,0.0654,0,0.5282,0.4064
56,R40,Imperial Rome  ,0.0277,0.065,0,0.5209,0.3863
57,R1544,Imperial Rome  ,0.0549,0.086,0.0107,0.5052,0.3431
58,R44,Imperial Rome  ,0.0236,0.0579,0,0.4886,0.4299
59,R42,Imperial Rome  ,0,0.0162,0.0433,0.6164,0.3241
60,R80,Imperial Rome  ,0.0387,0.025,0.108,0.4353,0.3931
61,R1551,Imperial Rome  ,0,0.1052,0.0077,0.6172,0.2699
62,R39,Imperial Rome  ,0.024,0.0992,0.0127,0.5099,0.3541
63,R123,Imperial Rome  ,0.0222,0.0722,0,0.5408,0.3649
64,R73,Imperial Rome  ,0.0347,0.0661,0.0526,0.5278,0.3189
65,R69,Imperial Rome  ,0.0288,0.1045,0,0.4897,0.377
66,R70,Imperial Rome  ,0.0068,0.0429,0.0369,0.5679,0.3455
67,R66,Imperial Rome  ,0.0044,0.0744,0,0.4946,0.4266
68,R71,Imperial Rome  ,0,0.0573,0,0.5165,0.4262
69,R67,Imperial Rome  ,0,0.1297,0.0434,0.6046,0.2224
70,R72,Imperial Rome  ,0.0118,0.0562,5e-04,0.5466,0.3848
71,R68,Imperial Rome  ,0,0.08,0.0274,0.6392,0.2534
72,R50,Imperial Rome  ,0.0507,0.1087,0.0174,0.4825,0.3407
73,R132,Imperial Rome  ,0.0378,0.0127,0.169,0.4106,0.3699
74,R47,Imperial Rome  ,0.063,0.1017,0.028,0.4662,0.3411
75,R126,Imperial Rome  ,0.0101,0.0352,0.0187,0.5735,0.3625
76,R33,Late Antiquity  ,0.1353,0.1404,0,0.3563,0.3679
77,R137,Late Antiquity  ,0.0341,0.0752,0,0.494,0.3966
78,R130,Late Antiquity  ,0.0236,0.0654,0.0126,0.5424,0.3561
79,R30,Late Antiquity  ,0.0472,0.0812,0.0231,0.503,0.3455
80,R134,Late Antiquity  ,0.0257,0.0881,0.0157,0.5255,0.345
81,R34,Late Antiquity  ,0.0409,0.0801,0.0267,0.4813,0.3709
82,R32,Late Antiquity  ,0.0626,0.076,0.0355,0.4719,0.354
83,R136,Late Antiquity  ,0.0462,0.1173,0,0.4845,0.352
84,R133,Late Antiquity  ,0.0311,0.107,0.0101,0.5064,0.3455
