individual,Sample,population,orange,blue,red,green
1,993,Bantu (S. Africa),0.675,0.103,0.1,0.122
2,1028,Bantu (S. Africa),0.621,0.142,0.111,0.126
3,1030,Bantu (S. Africa),0.641,0.125,0.152,0.082
4,1031,Bantu (S. Africa),0.448,0.132,0.114,0.306
5,1033,Bantu (S. Africa),0.507,0.272,0.12,0.101
6,1034,Bantu (S. Africa),0.525,0.184,0.098,0.193
7,1035,Bantu (S. Africa),0.463,0.272,0.129,0.136
8,1405,Bantu (Kenya) ,0.585,0.1,0.108,0.206
9,1406,Bantu (Kenya) ,0.649,0.117,0.076,0.157
10,1408,Bantu (Kenya) ,0.434,0.358,0.129,0.079
11,1411,Bantu (Kenya) ,0.356,0.329,0.172,0.143
12,1412,Bantu (Kenya) ,0.619,0.121,0.101,0.159
13,1413,Bantu (Kenya) ,0.317,0.451,0.126,0.106
14,1414,Bantu (Kenya) ,0.642,0.181,0.088,0.09
15,1415,Bantu (Kenya) ,0.324,0.29,0.269,0.117
16,1416,Bantu (Kenya) ,0.543,0.095,0.18,0.181
17,1417,Bantu (Kenya) ,0.676,0.102,0.142,0.079
18,1418,Bantu (Kenya) ,0.516,0.177,0.188,0.12
19,1419,Bantu (Kenya) ,0.729,0.074,0.076,0.121
20,904,Mandenka  ,0.533,0.25,0.113,0.105
21,905,Mandenka  ,0.579,0.142,0.146,0.133
22,907,Mandenka  ,0.531,0.156,0.091,0.222
23,908,Mandenka  ,0.307,0.323,0.117,0.254
24,909,Mandenka  ,0.644,0.149,0.123,0.085
25,910,Mandenka  ,0.566,0.235,0.122,0.077
26,912,Mandenka  ,0.412,0.117,0.373,0.098
27,914,Mandenka  ,0.362,0.113,0.329,0.196
28,915,Mandenka  ,0.591,0.122,0.156,0.131
29,916,Mandenka  ,0.316,0.151,0.278,0.255
30,917,Mandenka  ,0.675,0.119,0.102,0.103
31,918,Mandenka  ,0.42,0.145,0.141,0.294
32,919,Mandenka  ,0.562,0.218,0.082,0.137
33,1199,Mandenka  ,0.667,0.129,0.113,0.091
34,1200,Mandenka  ,0.623,0.157,0.115,0.105
35,1201,Mandenka  ,0.402,0.331,0.184,0.083
36,1202,Mandenka  ,0.752,0.113,0.075,0.06
37,1283,Mandenka  ,0.646,0.142,0.104,0.108
38,1284,Mandenka  ,0.331,0.188,0.238,0.243
39,1285,Mandenka  ,0.437,0.224,0.116,0.224
40,1286,Mandenka  ,0.695,0.093,0.121,0.091
41,920,Yoruba  ,0.421,0.268,0.112,0.199
42,921,Yoruba  ,0.364,0.158,0.087,0.391
43,922,Yoruba  ,0.569,0.161,0.17,0.1
44,923,Yoruba  ,0.335,0.239,0.325,0.102
