individual,Sample,population,orange,blue,red,green
1,993,Bantu (S. Africa),0.466,0.182,0.127,0.225
2,1028,Bantu (S. Africa),0.464,0.243,0.155,0.138
3,1030,Bantu (S. Africa),0.605,0.135,0.112,0.148
4,1031,Bantu (S. Africa),0.274,0.247,0.268,0.212
5,1033,Bantu (S. Africa),0.709,0.106,0.112,0.073
6,1034,Bantu (S. Africa),0.617,0.099,0.169,0.115
7,1035,Bantu (S. Africa),0.432,0.143,0.256,0.169
8,1405,Bantu (Kenya) ,0.372,0.281,0.19,0.158
9,1406,Bantu (Kenya) ,0.536,0.123,0.157,0.183
10,1408,Bantu (Kenya) ,0.325,0.209,0.362,0.104
11,1411,Bantu (Kenya) ,0.572,0.129,0.149,0.151
12,1412,Bantu (Kenya) ,0.451,0.177,0.218,0.154
13,1413,Bantu (Kenya) ,0.386,0.131,0.193,0.289
14,1414,Bantu (Kenya) ,0.754,0.087,0.086,0.073
15,1415,Bantu (Kenya) ,0.65,0.199,0.075,0.076
16,1416,Bantu (Kenya) ,0.625,0.136,0.163,0.075
17,1417,Bantu (Kenya) ,0.302,0.177,0.35,0.171
18,1418,Bantu (Kenya) ,0.503,0.159,0.121,0.217
19,1419,Bantu (Kenya) ,0.485,0.26,0.098,0.157
20,904,Mandenka  ,0.636,0.103,0.166,0.095
21,905,Mandenka  ,0.31,0.155,0.328,0.207
22,907,Mandenka  ,0.56,0.128,0.194,0.118
23,908,Mandenka  ,0.589,0.142,0.128,0.141
24,909,Mandenka  ,0.66,0.099,0.146,0.095
25,910,Mandenka  ,0.578,0.136,0.197,0.09
26,912,Mandenka  ,0.525,0.087,0.308,0.08
27,914,Mandenka  ,0.606,0.093,0.177,0.123
28,915,Mandenka  ,0.461,0.268,0.103,0.168
29,916,Mandenka  ,0.46,0.274,0.077,0.189
30,917,Mandenka  ,0.385,0.239,0.235,0.141
31,918,Mandenka  ,0.526,0.164,0.205,0.104
32,919,Mandenka  ,0.423,0.144,0.271,0.162
33,1199,Mandenka  ,0.632,0.137,0.147,0.084
34,1200,Mandenka  ,0.573,0.106,0.176,0.145
35,1201,Mandenka  ,0.568,0.14,0.191,0.1
36,1202,Mandenka  ,0.422,0.3,0.129,0.149
37,1283,Mandenka  ,0.399,0.176,0.33,0.095
38,1284,Mandenka  ,0.563,0.152,0.141,0.144
39,1285,Mandenka  ,0.694,0.08,0.155,0.071
40,1286,Mandenka  ,0.521,0.181,0.17,0.128
41,920,Yoruba  ,0.514,0.085,0.22,0.181
42,921,Yoruba  ,0.603,0.104,0.175,0.118
43,922,Yoruba  ,0.218,0.429,0.132,0.221
44,923,Yoruba  ,0.316,0.354,0.153,0.177
45,924,Yoruba  ,0.564,0.12,0.152,0.164
46,925,Yoruba  ,0.363,0.254,0.154,0.23
47,926,Yoruba  ,0.561,0.192,0.14,0.107
48,927,Yoruba  ,0.47,0.099,0.299,0.132
49,928,Yoruba  ,0.699,0.114,0.127,0.061
50,929,Yoruba  ,0.517,0.221,0.206,0.057
51,930,Yoruba  ,0.449,0.155,0.263,0.133
52,931,Yoruba  ,0.34,0.157,0.292,0.211
53,932,Yoruba  ,0.586,0.152,0.128,0.134
54,933,Yoruba  ,0.468,0.11,0.134,0.288
55,934,Yoruba  ,0.542,0.186,0.168,0.104
56,935,Yoruba  ,0.546,0.179,0.09,0.184
57,936,Yoruba  ,0.394,0.179,0.201,0.226
58,937,Yoruba  ,0.471,0.267,0.142,0.119
59,938,Yoruba  ,0.222,0.194,0.288,0.296
60,940,Yoruba  ,0.551,0.2,0.112,0.136
61,941,Yoruba  ,0.511,0.168,0.227,0.095
62,942,Yoruba  ,0.363,0.2,0.116,0.321
63,943,Yoruba  ,0.643,0.108,0.144,0.105
64,988,San  ,0.602,0.133,0.143,0.122
65,448,Biaka Pygmy ,0.473,0.138,0.227,0.162
66,451,Biaka Pygmy ,0.641,0.187,0.107,0.065
67,473,Biaka Pygmy ,0.466,0.143,0.145,0.246
68,475,Biaka Pygmy ,0.693,0.08,0.095,0.132
69,477,Biaka Pygmy ,0.602,0.15,0.155,0.093
70,479,Biaka Pygmy ,0.46,0.304,0.138,0.098
71,985,Biaka Pygmy ,0.465,0.136,0.176,0.223
72,986,Biaka Pygmy ,0.329,0.177,0.369,0.124
73,1084,Biaka Pygmy ,0.382,0.097,0.284,0.237
74,1085,Biaka Pygmy ,0.696,0.098,0.141,0.066
75,1086,Biaka Pygmy ,0.661,0.169,0.11,0.061
76,1088,Biaka Pygmy ,0.592,0.174,0.079,0.155
77,1089,Biaka Pygmy ,0.446,0.127,0.213,0.214
78,1090,Biaka Pygmy ,0.64,0.113,0.15,0.097
79,1091,Biaka Pygmy ,0.47,0.195,0.205,0.13
80,1093,Biaka Pygmy ,0.386,0.186,0.197,0.231
81,1094,Biaka Pygmy ,0.66,0.112,0.151,0.077
82,449,Mbuti Pygmy ,0.692,0.119,0.119,0.07
83,450,Mbuti Pygmy ,0.541,0.108,0.259,0.092
84,462,Mbuti Pygmy ,0.731,0.069,0.121,0.079
85,463,Mbuti Pygmy ,0.403,0.127,0.32,0.149
86,467,Mbuti Pygmy ,0.497,0.097,0.139,0.267
87,468,Mbuti Pygmy ,0.726,0.084,0.112,0.077
88,471,Mbuti Pygmy ,0.646,0.152,0.134,0.068
89,474,Mbuti Pygmy ,0.582,0.097,0.223,0.099
90,478,Mbuti Pygmy ,0.692,0.115,0.11,0.083
91,982,Mbuti Pygmy ,0.436,0.143,0.337,0.085
92,983,Mbuti Pygmy ,0.613,0.074,0.225,0.087
