individual,Sample,population,orange,blue,red,green
1,993,Bantu (S. Africa),0.212,0.26,0.312,0.217
2,1028,Bantu (S. Africa),0.362,0.206,0.184,0.248
3,1030,Bantu (S. Africa),0.197,0.253,0.263,0.288
4,1031,Bantu (S. Africa),0.188,0.275,0.272,0.265
5,1033,Bantu (S. Africa),0.347,0.226,0.228,0.199
6,1034,Bantu (S. Africa),0.255,0.267,0.241,0.238
7,1035,Bantu (S. Africa),0.264,0.247,0.236,0.253
8,1405,Bantu (Kenya) ,0.186,0.265,0.282,0.267
9,1406,Bantu (Kenya) ,0.38,0.229,0.166,0.225
10,1408,Bantu (Kenya) ,0.203,0.258,0.225,0.314
11,1411,Bantu (Kenya) ,0.233,0.281,0.214,0.272
12,1412,Bantu (Kenya) ,0.215,0.256,0.296,0.233
13,1413,Bantu (Kenya) ,0.264,0.266,0.222,0.247
14,1414,Bantu (Kenya) ,0.281,0.242,0.259,0.218
15,1415,Bantu (Kenya) ,0.173,0.29,0.215,0.322
16,1416,Bantu (Kenya) ,0.206,0.28,0.285,0.229
17,1417,Bantu (Kenya) ,0.186,0.268,0.191,0.354
18,1418,Bantu (Kenya) ,0.357,0.23,0.193,0.22
19,1419,Bantu (Kenya) ,0.282,0.249,0.241,0.228
20,904,Mandenka  ,0.263,0.265,0.252,0.221
21,905,Mandenka  ,0.256,0.271,0.228,0.246
22,907,Mandenka  ,0.199,0.254,0.249,0.298
23,908,Mandenka  ,0.462,0.165,0.184,0.188
24,909,Mandenka  ,0.233,0.249,0.252,0.266
25,910,Mandenka  ,0.212,0.283,0.24,0.265
26,912,Mandenka  ,0.162,0.246,0.35,0.242
27,914,Mandenka  ,0.256,0.243,0.252,0.249
28,915,Mandenka  ,0.204,0.275,0.232,0.289
29,916,Mandenka  ,0.353,0.233,0.219,0.195
30,917,Mandenka  ,0.226,0.266,0.242,0.266
31,918,Mandenka  ,0.315,0.226,0.219,0.24
32,919,Mandenka  ,0.231,0.245,0.284,0.24
33,1199,Mandenka  ,0.353,0.216,0.221,0.21
34,1200,Mandenka  ,0.315,0.242,0.198,0.246
35,1201,Mandenka  ,0.203,0.235,0.261,0.301
36,1202,Mandenka  ,0.216,0.243,0.246,0.296
37,1283,Mandenka  ,0.17,0.252,0.322,0.256
38,1284,Mandenka  ,0.237,0.237,0.253,0.273
39,1285,Mandenka  ,0.193,0.26,0.275,0.272
40,1286,Mandenka  ,0.244,0.243,0.249,0.264
41,920,Yoruba  ,0.179,0.247,0.304,0.271
42,921,Yoruba  ,0.198,0.267,0.288,0.247
43,922,Yoruba  ,0.209,0.275,0.278,0.238
44,923,Yoruba  ,0.305,0.237,0.272,0.186
45,924,Yoruba  ,0.223,0.26,0.25,0.267
46,925,Yoruba  ,0.236,0.262,0.289,0.213
47,926,Yoruba  ,0.207,0.28,0.237,0.275
48,927,Yoruba  ,0.331,0.205,0.177,0.287
49,928,Yoruba  ,0.254,0.269,0.243,0.234
50,929,Yoruba  ,0.431,0.187,0.208,0.175
51,930,Yoruba  ,0.226,0.27,0.252,0.252
52,931,Yoruba  ,0.263,0.257,0.258,0.222
53,932,Yoruba  ,0.26,0.237,0.254,0.249
54,933,Yoruba  ,0.269,0.267,0.208,0.255
55,934,Yoruba  ,0.241,0.239,0.275,0.244
