individual,population,red,orange,blue,green
1,Gambian ,0.5905,0.3323,0.0772,0
2,Gambian ,0.7041,0.2475,0.0484,0
3,Gambian ,0.9762,0,0.0238,0
4,Gambian ,0.7587,0.213,0.0283,0
5,Gambian ,0.7557,0.2186,0.0257,0
6,Gambian ,0.7036,0.272,0.0244,0
7,Gambian ,0.6407,0.337,0.0223,0
8,Gambian ,0.7795,0.2036,0.0169,0
9,Gambian ,0.6034,0.3805,0.016,0
10,Gambian ,0.9915,0,0.0085,0
11,Gambian ,0.6317,0.3534,0.0149,0
12,Gambian ,0.7757,0.2117,0.0126,0
13,Gambian ,0.6957,0.2938,0.0105,0
14,Gambian ,0.7081,0.2838,0.008,0
15,Gambian ,0.9694,0.0264,0,0.0041
16,Gambian ,0.7133,0.2808,0.0059,0
17,Gambian ,0.744,0.252,0,0.004
18,Gambian ,0.7064,0.2895,0.004,0
19,Gambian ,0.7186,0.2788,0.0026,0
20,Gambian ,0.7234,0.2732,0.0034,0
21,Gambian ,0.6554,0.3409,0.0037,0
22,Gambian ,1,0,0,0
23,Gambian ,0.7571,0.2379,0.0049,0
24,Gambian ,0.8072,0.1906,0.0022,0
25,Gambian ,0.7144,0.2842,0,0.0014
26,Gambian ,0.837,0.1625,0,5e-04
27,Gambian ,0.9966,0.0033,1e-04,0
28,Gambian ,0.5896,0.4089,0,0.0015
29,Gambian ,0.7069,0.2923,7e-04,0
30,Gambian ,0.8843,0.1157,0,0
31,Gambian ,0.9997,3e-04,0,0
32,Gambian ,0.7178,0.2822,0,0
33,Gambian ,0.8007,0.1993,0,0
34,Gambian ,0.7493,0.2507,0,0
35,Gambian ,0.7482,0.2518,0,0
36,Gambian ,0.6227,0.3773,0,0
37,Gambian ,0.7151,0.2849,0,0
38,Gambian ,0.7737,0.2263,0,0
39,Gambian ,0.9054,0.0946,0,0
40,Gambian ,1,0,0,0
41,Gambian ,0.8011,0.1988,0,0
42,Gambian ,0.7357,0.2643,0,0
43,Gambian ,0.6748,0.3252,0,0
44,Gambian ,0.8724,0.1276,0,0
45,Gambian ,1,0,0,0
46,Gambian ,0.679,0.321,0,0
47,Gambian ,0.7854,0.2146,0,0
48,Gambian ,0.8824,0.1176,0,0
